pond,date,CO2_mean,CH4_mean,N2O_mean,CO2_sd,CH4_sd,N2O_sd
ALC,2021-06-08,-0.6493333333333333,4.83,0.005633333333333333,0.33014592733113235,0.8983874442577655,3.323151115031235e-4
ALC,2021-06-15,0.18366666666666664,2.0166666666666666,0.008203333333333333,0.9164934987949087,0.43821608064211126,3.4530180036213714e-4
ALC,2021-07-21,82.06666666666666,11.183333333333334,0.0074666666666666675,21.900076103368527,4.425023540427026,2.750151510977774e-4
ALC,2021-08-02,81.7,4.323333333333333,0.0063,7.2394751190953075,0.975209379227524,0.001554638221580828
ALC,2022-01-13,199.33333333333334,10.966666666666667,0.0192,4.041451884327384,0.41633319989322704,1.999999999999985e-4
ALC,2022-01-27,446.6666666666667,7.076666666666667,0.00768,6.429100507328618,0.17039170558842728,7.184010022264726e-4
ALC,2022-02-09,585.3333333333334,123.66666666666667,-0.0013866666666666667,5.507570547286127,1.5275252316519496,2.2546248764114464e-4
CAP,2021-06-07,121.66666666666667,6.116666666666667,0.005063333333333333,7.023769168568487,0.822759584163766,2.0599352740640503e-4
CAP,2021-06-16,11.933333333333334,2.5900000000000003,0.005256666666666667,1.6623276853055573,0.430929228528305,1.4011899704655835e-4
CAP,2021-07-16,148.33333333333331,1.5233333333333332,0.021833333333333333,11.93035344544885,0.14224392195567917,5.033222956847179e-4
CAP,2021-08-04,272.6666666666667,38.63333333333333,0.0015133333333333333,27.319101986217138,4.697162263892248,4.0377386410382393e-4
CAP,2022-01-13,228.66666666666669,3.4766666666666666,0.0037233333333333333,6.506407098647708,0.7950052410728705,5.507570547286093e-5
CAP,2022-01-27,393.3333333333333,38.73333333333333,-0.002213333333333333,10.016652800877813,0.5507570547286119,4.0501028793517497e-4
CAP,2022-02-09,383.33333333333337,81.73333333333333,-0.0014433333333333334,1.1547005383792484,1.1150485789118476,1.9857828011475312e-4
DCSW1,2021-06-09,-2.013333333333333,0.5583333333333333,0.014433333333333333,1.132004122489549,0.07081195755896974,6.506407098647712e-4
DCSW1,2021-06-21,2.0566666666666666,2.723333333333333,0.0243,1.1146449359923247,0.20502032419575708,2.645751311064596e-4
DCSW1,2021-07-19,92.16666666666667,1.8866666666666667,0.011399999999999999,0.05773502691896398,0.11503622617824928,2.0000000000000015e-4
DCSW1,2021-08-04,27.26666666666667,3.1666666666666665,0.00643,3.65011415346607,0.38501082235871403,7.700000000000001e-4
DCSW1,2022-01-13,51.96666666666666,1.67,0.0222,0.907377172587748,0.05196152422706631,1.7320508075688738e-4
DCSW1,2022-01-27,195.66666666666666,0.3693333333333333,0.020133333333333333,2.3094010767584967,0.016165807537309514,1.1547005383792428e-4
DCSW1,2022-02-09,329.3333333333333,1.1133333333333335,0.015766666666666665,2.081665999466153,0.025166114784235916,1.5275252316519422e-4
